EmployeeID,Age,Department,Education,JobRole,Gender,MonthlyIncome,DateOfJoining,OverTime,BusinessTravel,MaritalStatus,YearsAtCompany,DistanceFromHome,PerformanceRating,TrainingTimesLastYear,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,Attrition,StockOptionLevel,PercentSalaryHike,TotalWorkingYears
2632.0,13.0,Research & Development,Bachelor,Executive,Male,8699.0,2018-12-05,Yes,Travel_Frequently,Married,1.0,50.0,High,3.0,Medium,Bad,Good,5.0,4.0,Strong,Yes,0.0,19.0,20.0
1621.0,31.0,Human Resources,Bachelor,Laboratory Technician,Male,12125.0,2018-12-05,Yes,Travel_Frequently,Divorced,10.0,0.0,Normal,3.0,Very High,Poor,Good,5.0,5.0,Extremely,Yes,2.0,20.0,5.0
5665.0,38.0,Research & Development,College,Manager,Female,5000.0,2018-12-05,Yes,Travel_Frequently,Married,10.0,0.0,High,5.0,High,Good,Poor,5.0,4.0,Extremely,Yes,0.0,20.0,13.0
2035.0,13.0,Sales,College,Technician,Male,5000.0,2018-12-05,Yes,Travel_Frequently,Divorced,10.0,50.0,High,0.0,Low,Excellent,Excellent,5.0,5.0,Extremely,Yes,0.0,15.0,20.0
3248.0,21.0,Human Resources,Master,Executive,Male,6776.0,2016-01-23,No,Travel_Frequently,Single,2.0,14.0,High,2.0,Low,Poor,Bad,8.0,5.0,Minimal,Yes,0.0,24.0,1.0
6700.0,13.0,Human Resources,College,Research Scientist,Male,15483.0,2018-12-05,Yes,Travel_Frequently,Divorced,3.0,0.0,Medium,3.0,Low,Poor,Bad,5.0,13.0,Minimal,Yes,1.0,22.0,1.0
9099.0,29.0,Research & Development,Master,Executive,Male,5000.0,2018-12-05,Yes,Travel_Frequently,Single,10.0,15.0,Low,6.0,Low,Bad,Poor,5.0,5.0,Extremely,Yes,0.0,20.0,20.0
2040.0,13.0,Sales,Doctor,Technician,Male,9349.0,2018-12-05,Yes,Travel_Rarely,Single,10.0,50.0,High,3.0,Low,Excellent,Good,0.0,5.0,Strong,No,0.0,23.0,25.0
2170.0,13.0,Human Resources,Below College,Executive,Male,5000.0,2018-12-05,Yes,Travel_Frequently,Single,10.0,0.0,Normal,0.0,Medium,Poor,Good,5.0,5.0,Minimal,Yes,3.0,20.0,20.0
6736.0,13.0,Sales,Below College,Technician,Female,12435.0,2022-11-12,Yes,Travel_Frequently,Single,10.0,50.0,High,5.0,High,Good,Poor,5.0,5.0,Strong,No,1.0,18.0,39.0
9430.0,49.0,Sales,Bachelor,Scientist,Female,5000.0,2018-12-05,Yes,Travel_Frequently,Single,10.0,18.0,Medium,3.0,High,Poor,Excellent,5.0,5.0,Minimal,No,3.0,20.0,20.0
1405.0,13.0,Human Resources,Doctor,Executive,Male,4373.0,2025-03-31,Yes,Travel_Frequently,Married,9.0,15.0,Normal,3.0,Low,Excellent,Bad,5.0,5.0,Minimal,Yes,1.0,12.0,20.0
