EmployeeID,Age,Department,Education,JobRole,Gender,MonthlyIncome,DateOfJoining,OverTime,BusinessTravel,MaritalStatus,YearsAtCompany,DistanceFromHome,PerformanceRating,TrainingTimesLastYear,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,Attrition,StockOptionLevel,PercentSalaryHike,TotalWorkingYears
2632.0,,R&D,3,Executive ,,8699,Not Available,No,Non-Travel,M,1,Far,High,,2,1,3,,4,3,Yes,Zero,19,
1621.0,31,Human Resources,3,Laboratory Technician,male,12125,,yes,Travel_Rarely,D,,Near,3,Zero,4,2,3,None,,4,yes,2,,5
5665.0,38,rnd,Two,Manager,Female,,12-05-2018,Y,,M,Ten,Near,,5,3,3,2,,4,4,,0,,13
,,,4,Scientist,male,9831,2019-07-28,Yes,Rarely,Single,9,Near,3,0,Low,2,,4,8,4,Yes,1,,Twenty
2035.0,Thirty,Sales,Two,Tech,Male,,Not Available,No,Non-Travel,D,,Far,,0,,Poor,4,None,,4,,Zero,15,Twenty
3248.0,21,Human Resources,4,,male,6776,2016-01-23,N,,,2,14,High,2,Low,2,Good,8,Five,1,Y,0,24,1
6700.0,,HR,2,Research Scientist,,15483,Not Available,,Travel_Rarely,D,3,Near,2,Zero,Low,2,,,13,,Y,1,22,1
9099.0,29,R&D,4,Executive ,male,Five Thousand,12-05-2018,No,Travel_Frequently,Single,,,1,6,1,1,2,,,4,yes,,Twenty,Twenty
2040.0,,Sales,5,Tech,Male,9349,,Yes,Rarely,Divorced,,Far,,,,Poor,3,0,Five,3,No,Zero,23,25
2170.0,Thirty,Human Resources,1,Executive,male,,Not Available,No,Non-Travel,Divorced,,Near,3,0,2,2,3,,,1,Y,3,,
6736.0,Thirty,Sales,1,Tech,Female,12435,2022-11-12,yes,Travel_Rarely,,,Far,4,5,3,3,2,None,,3,N,1,18,39
9430.0,49,Sales,3,Scientist,F,Five Thousand,,No,Travel_Rarely,Divorced,,18,2,Zero,3,2,4,,,High,No,3,Twenty,
,,HR,1,Executive,Male,,Not Available,No,Travel_Rarely,Single,Ten,Near,3,4,4,,4,,Five,4,Y,Zero,19,Twenty
